SUBJECT AREA,
Agricultural and Biological Sciences,70
Arts and Humanities,32
"Biochemistry, Genetics and Molecular Biology",56
"Business, Management and Accounting",17
Chemical Engineering,61
Chemistry,31
Computer Science,905
Decision Sciences,97
Earth and Planetary Sciences,113
"Economics, Econometrics and Finance",6
Energy,121
Engineering,1409
Environmental Science,252
Health Professions,6
Immunology and Microbiology,7
Materials Science,121
Mathematics,798
Medicine,109
Multidisciplinary,58
Neuroscience,24
Nursing,1
"Pharmacology, Toxicology and Pharmaceutics",5
Physics and Astronomy,491
Psychology,25
Social Sciences,411
Undefined,1
